Periodo30;Periodo100;Periodo300
1,33;1,39;1,29
1,32;1,32;1,33
1,33;1,28;1,29
1,33;1,31;1,37
1,35;1,28;1,32
1,33;1,32;1,33
1,33;1,33;1,35
1,26;1,38;1,3
1,37;1,33;1,36
1,29;1,41;1,33
1,23;1,31;1,29
1,32;1,29;1,27
1,33;1,33;1,29
1,33;1,29;1,32
1,3;1,35;1,36
1,35;1,34;1,35
1,33;1,32;1,35
1,33;1,24;1,35
1,25;1,29;1,37
1,38;1,4;1,33
1,33;1,31;1,37
1,31;1,29;1,29
1,34;1,29;1,35
1,27;1,33;1,33
1,32;1,35;1,35
1,31;1,31;1,35
1,31;1,33;1,36
1,37;1,28;1,37
1,33;1,33;1,33
1,33;1,29;1,32
;1,33;1,33
;1,26;1,35
;1,35;1,24
;1,3;1,31
;1,3;1,34
;1,32;1,35
;1,36;1,4
;1,31;1,33
;1,29;1,31
;1,31;1,29
;1,31;1,34
;1,31;1,34
;1,33;1,32
;1,34;1,33
;1,21;1,35
;1,29;1,32
;1,31;1,27
;1,35;1,35
;1,34;1,35
;1,35;1,35
;1,31;1,37
;1,33;1,33
;1,34;1,31
;1,31;1,37
;1,33;1,3
;1,39;1,31
;1,31;1,33
;1,33;1,38
;1,34;1,36
;1,35;1,31
;1,38;1,37
;1,33;1,32
;1,31;1,41
;1,34;1,29
;1,32;1,28
;1,34;1,42
;1,35;1,27
;1,4;1,27
;1,33;1,32
;1,35;1,37
;1,31;1,27
;1,29;1,25
;1,36;1,22
;1,36;1,32
;1,31;1,35
;1,32;1,35
;1,31;1,32
;1,35;1,34
;1,35;1,35
;1,33;1,35
;1,31;1,33
;1,29;1,37
;1,32;1,31
;1,33;1,31
;1,37;1,27
;1,35;1,35
;1,33;1,33
;1,32;1,35
;1,29;1,33
;1,44;1,33
;1,35;1,37
;1,31;1,35
;1,33;1,35
;1,3;1,34
;1,32;1,31
;1,31;1,37
;1,28;1,36
;1,34;1,32
;1,32;1,32
;1,35;1,39
;;1,27
;;1,36
;;1,33
;;1,35
;;1,3
;;1,37
;;1,34
;;1,38
;;1,35
;;1,34
;;1,33
;;1,32
;;1,36
;;1,3
;;1,31
;;1,33
;;1,29
;;1,29
;;1,33
;;1,31
;;1,3
;;1,3
;;1,29
;;1,3
;;1,25
;;1,38
;;1,35
;;1,35
;;1,33
;;1,31
;;1,29
;;1,28
;;1,35
;;1,2
;;1,34
;;1,32
;;1,31
;;1,35
;;1,33
;;1,36
;;1,33
;;1,31
;;1,36
;;1,32
;;1,3
;;1,31
;;1,33
;;1,32
;;1,39
;;1,33
;;1,24
;;1,31
;;1,35
;;1,31
;;1,29
;;1,42
;;1,37
;;1,31
;;1,38
;;1,32
;;1,43
;;1,27
;;1,35
;;1,27
;;1,33
;;1,33
;;1,35
;;1,27
;;1,37
;;1,36
;;1,24
;;1,35
;;1,33
;;1,39
;;1,41
;;1,26
;;1,34
;;1,32
;;1,31
;;1,29
;;1,31
;;1,37
;;1,35
;;1,3
;;1,35
;;1,38
;;1,37
;;1,35
;;1,36
;;1,29
;;1,36
;;1,26
;;1,37
;;1,21
;;1,38
;;1,32
;;1,33
;;1,3
;;1,37
;;1,33
;;1,39
;;1,32
;;1,32
;;1,35
;;1,29
;;1,35
;;1,28
;;1,35
;;1,35
;;1,37
;;1,47
;;1,26
;;1,3
;;1,35
;;1,37
;;1,4
;;1,36
;;1,31
;;1,28
;;1,34
;;1,32
;;1,33
;;1,33
;;1,29
;;1,37
;;1,35
;;1,29
;;1,33
;;1,22
;;1,27
;;1,3
;;1,29
;;1,27
;;1,3
;;1,32
;;1,35
;;1,3
;;1,33
;;1,27
;;1,43
;;1,3
;;1,3
;;1,35
;;1,29
;;1,32
;;1,28
;;1,35
;;1,32
;;1,32
;;1,34
;;1,29
;;1,33
;;1,33
;;1,33
;;1,35
;;1,32
;;1,31
;;1,31
;;1,29
;;1,32
;;1,27
;;1,37
;;1,29
;;1,34
;;1,31
;;1,29
;;1,25
;;1,29
;;1,32
;;1,33
;;1,31
;;1,32
;;1,28
;;1,31
;;1,27
;;1,32
;;1,27
;;1,29
;;1,25
;;1,27
;;1,27
;;1,32
;;1,31
;;1,27
;;1,35
;;1,32
;;1,29
;;1,31
;;1,32
;;1,23
;;1,29
;;1,36
;;1,33
;;1,32
;;1,35
;;1,29
;;1,26
;;1,29
;;1,24
;;1,3
